value,lemma,band
48951.33,the,1000
29621.79,be,1000
25683.44,of,1000
23546.3,and,1000
23346.43,to,1000
17681.24,a,1000
15764.7,in,1000
9519.04,that,1000
8810.37,for,1000
8273.81,have,1000
6489.3,it,1000
6116.13,on,1000
6046.45,i,1000
5538.63,with,1000
5278.38,not,1000
5257.18,as,1000
5203.2,you,1000
5085.03,this,1000
4660.08,by,1000
4447.49,or,1000
3858.15,at,1000
3835.19,do,1000
3602.57,from,1000
3137.93,we,1000
3087.14,an,1000
2952.51,will,1000
2792.55,they,1000
2789.07,but,1000
2408.52,all,1000
2406.24,he,1000
2278.69,your,1000
2262.42,if,1000
2259.64,can,1000
2223.79,their,1000
2194.04,one,1000
2154.74,more,1000
2038.81,which,1000
2016.77,use,1000
1934.03,about,1000
1904.21,other,1000
1864.81,make,1000
1862.58,his,1000
1826.61,what,1000
1818.17,there,1000
1772.09,would,1000
1706.41,who,1000
1664.48,my,1000
1648.28,say,1000
1629.29,so,1000
1609.67,when,1000
1606.78,time,1000
1551.58,new,1000
1441.86,our,1000
1440.43,get,1000
1426.81,some,1000
1408.42,work,1000
1379,may,1000
1376.56,out,1000
1375.45,year,1000
1359.99,also,1000
1359.07,people,1000
1345.53,good,1000
1342.76,no,1000
1333.13,go,1000
1306.79,up,1000
1281.99,these,1000
1253.31,than,1000
1252.76,take,1000
1210.03,any,1000
1206.58,see,1000
1191.35,its,1000
1189.61,how,1000
1149.74,them,1000
1119.28,only,1000
1115.45,like,1000
1100.58,into,1000
1054.96,know,1000
1029.2,need,1000
1011.64,should,1000
999.72,just,1000
981.78,most,1000
981.14,first,1000
966.22,such,1000
966.18,her,1000
964.21,me,1000
962.5,find,1000
927.04,many,1000
909.35,give,1000
907.72,way,1000
899.02,information,1000
892.33,she,1000
890.67,well,1000
879.81,think,1000
876.58,include,1000
874.55,now,1000
870.67,two,1000
866.34,over,1000
865.78,could,1000
861.76,then,1000
848.7,because,1000
846.55,us,1000
833.67,very,1000
