band	lemma	pos
1000	the	det
1000	be	v
1000	of	prep
1000	and	conj
1000	a	det
1000	in	prep
1000	to	infinitive-marker
1000	have	v
1000	it	pron
1000	to	prep
1000	for	prep
1000	i	pron
1000	that	conj
1000	you	pron
1000	he	pron
1000	on	prep
1000	with	prep
1000	do	v
1000	at	prep
1000	by	prep
1000	not	adv
1000	this	det
1000	but	conj
1000	from	prep
1000	they	pron
1000	his	det
1000	that	det
1000	she	pron
1000	or	conj
1000	which	det
1000	as	conj
1000	we	pron
1000	an	det
1000	say	v
1000	will	modal
1000	would	modal
1000	can	modal
1000	if	conj
1000	their	det
1000	go	v
1000	what	det
1000	there	pron
1000	all	det
1000	get	v
1000	her	det
1000	make	v
1000	who	pron
1000	as	prep
1000	out	adv
1000	up	adv
1000	see	v
1000	know	v
1000	time	n
1000	take	v
1000	them	pron
1000	some	det
1000	could	modal
1000	so	adv
1000	him	pron
1000	year	n
1000	into	prep
1000	its	det
1000	then	adv
1000	think	v
1000	my	det
1000	come	v
1000	than	conj
1000	more	adv
1000	about	prep
1000	now	adv
1000	last	a
1000	your	det
1000	me	pron
1000	no	det
1000	other	a
1000	give	v
1000	just	adv
1000	should	modal
1000	these	det
1000	people	n
1000	also	adv
1000	well	adv
1000	any	det
1000	only	adv
1000	new	a
1000	very	adv
1000	when	conj
1000	may	modal
1000	way	n
1000	look	v
1000	like	prep
1000	use	v
1000	her	pron
1000	such	det
1000	how	adv
1000	because	conj
1000	when	adv
1000	as	adv
1000	good	a
1000	find	v
1000	man	n
1000	our	det
1000	want	v
1000	day	n
1000	between	prep
1000	even	adv
1000	there	adv
1000	many	det
1000	those	det
1000	one	pron
1000	after	prep
1000	down	adv
1000	yeah	interjection
1000	so	conj
1000	thing	n
1000	tell	v
1000	through	prep
1000	back	adv
1000	still	adv
1000	must	modal
1000	child	n
1000	here	adv
1000	over	prep
1000	too	adv
1000	put	v
1000	own	det
1000	on	adv
1000	no	interjection
1000	work	v
1000	become	v
1000	more	det
1000	old	a
1000	government	n
1000	mean	v
1000	part	n
1000	leave	v
1000	life	n
1000	great	a
1000	where	adv
1000	case	n
1000	woman	n
